ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2024-08-01,943.4932113599999,-20.320256796594883,1146.934919746021,943.4932113599999,943.4932113599999,-343.92747228603287,-343.92747228603287,-343.92747228603287,91.61504472959999,91.61504472959999,91.61504472959999,-5.751724621573864,-5.751724621573864,-5.751724621573864,-429.79079239405894,-429.79079239405894,-429.79079239405894,0.0,0.0,0.0,599.565739073967
2024-08-02,944.4876518898461,100.00603833571306,1251.3012224454974,944.4876518898461,944.4876518898461,-278.0667541851716,-278.0667541851716,-278.0667541851716,91.61504472959999,91.61504472959999,91.61504472959999,28.045595736923758,28.045595736923758,28.045595736923758,-397.72739465169536,-397.72739465169536,-397.72739465169536,0.0,0.0,0.0,666.4208977046745
2024-08-03,945.4820924196922,55.84462562984838,1195.060982359653,945.4820924196922,945.4820924196922,-323.50975207024646,-323.50975207024646,-323.50975207024646,91.61504472959999,91.61504472959999,91.61504472959999,-52.23305297263539,-52.23305297263539,-52.23305297263539,-362.8917438272111,-362.8917438272111,-362.8917438272111,0.0,0.0,0.0,621.9723403494457
2024-08-04,946.4765329495384,306.74764001686094,1455.8594879633858,946.4765329495384,946.4765329495384,-75.96847991887114,-75.96847991887114,-75.96847991887114,91.61504472959999,91.61504472959999,91.61504472959999,157.9899576767481,157.9899576767481,157.9899576767481,-325.57348232521923,-325.57348232521923,-325.57348232521923,0.0,0.0,0.0,870.5080530306673
2024-08-05,947.4709734793845,159.54184713935936,1310.3640187685132,947.4709734793845,947.4709734793845,-196.37767656973085,-196.37767656973085,-196.37767656973085,91.61504472959999,91.61504472959999,91.61504472959999,-1.9207621640863266,-1.9207621640863266,-1.9207621640863266,-286.0719591352445,-286.0719591352445,-286.0719591352445,0.0,0.0,0.0,751.0932969096536
2024-08-06,948.4654140092307,222.99065282280188,1374.4820027518003,948.4654140092307,948.4654140092307,-177.0296873975075,-177.0296873975075,-177.0296873975075,91.61504472959999,91.61504472959999,91.61504472959999,-23.955784100785582,-23.955784100785582,-23.955784100785582,-244.68894802632192,-244.68894802632192,-244.68894802632192,0.0,0.0,0.0,771.4357266117232
2024-08-07,949.4598545390768,192.9686037213481,1336.2905545937967,949.4598545390768,949.4598545390768,-212.28130104508838,-212.28130104508838,-212.28130104508838,91.61504472959999,91.61504472959999,91.61504472959999,-102.1742295541424,-102.1742295541424,-102.1742295541424,-201.72211622054596,-201.72211622054596,-201.72211622054596,0.0,0.0,0.0,737.1785534939884
2024-08-08,950.454295068923,325.64553309790546,1424.7137969610326,950.454295068923,950.454295068923,-71.59611868121439,-71.59611868121439,-71.59611868121439,91.61504472959999,91.61504472959999,91.61504472959999,-5.7517246211648665,-5.7517246211648665,-5.7517246211648665,-157.45943878964954,-157.45943878964954,-157.45943878964954,0.0,0.0,0.0,878.8581763877086
2024-08-09,951.4487355987691,399.93562990280424,1505.5012394767139,951.4487355987691,951.4487355987691,7.485928716228145,7.485928716228145,7.485928716228145,91.61504472959999,91.61504472959999,91.61504472959999,28.04559573657588,28.04559573657588,28.04559573657588,-112.1747117499477,-112.1747117499477,-112.1747117499477,0.0,0.0,0.0,958.9346643149972
2024-08-10,952.4431761286153,319.2594570975224,1472.084705343871,952.4431761286153,952.4431761286153,-26.742278115401835,-26.742278115401835,-26.742278115401835,91.61504472959999,91.61504472959999,91.61504472959999,-52.23305297264634,-52.23305297264634,-52.23305297264634,-66.12426987235551,-66.12426987235551,-66.12426987235551,0.0,0.0,0.0,925.7008980132134
