"customer_id","product_id","product_variant_sku","product_title","product_variant_id","products_bought_together_ids","products_bought_together_titles","order_id","order_day","orders","gross_sales","net_sales","total_sales"
"7566114160863","4343002431565",NULL,"Starter Set","32996777132109","[4343002431565,8667880849631]","['Starter Set','Pocket Kit']","5785308791007","2024-09-16",1,"23","18.4","18.4"
"7565518373087","8727325376735",NULL,"Feminine Wipe Gel - Starter Set","46094405566687","[8727325376735]","['Feminine Wipe Gel - Starter Set']","5784768544991","2024-09-16",1,"23","23","23"
"7566893351135","4343002431565",NULL,"Starter Set","32996777132109","[4343002431565]","['Starter Set']","5785798672607","2024-09-16",1,"23","18.4","18.4"
"7560030257375","4343002431565","WipStarterBlu","Starter Set","32996777099341","[4343002431565]","['Starter Set']","5785257836767","2024-09-16",1,"23","18.4","18.4"
"7565778026719","4343002431565","WipStarterBlu","Starter Set","32996777099341","[4343002431565]","['Starter Set']","5784954241247","2024-09-16",1,"23","23","23"
"7563152949471","4448677003341","Wip15oz","Toilet Paper Gel","39303493124173","[4448677003341,8667880849631,8727325376735]","['Toilet Paper Gel','Pocket Kit','Feminine Wipe Gel - Starter Set']","5784877793503","2024-09-16",1,"16","12.8","12.8"
"7566703460575","4448677003341","Wip15oz","Toilet Paper Gel","39303493124173","[4448677003341]","['Toilet Paper Gel']","5785648693471","2024-09-16",1,"16","12.8","12.8"
"7565907951839","4343002431565",NULL,"Starter Set","32996777132109","[4343002431565]","['Starter Set']","5785088196831","2024-09-16",1,"23","23","25.1"
"7520631226591","4343002431565","WipStarterBlu","Starter Set","32996777099341","[4343002431565]","['Starter Set']","5785561891039","2024-09-16",1,"23","0","0"
"7566565212383","4343002431565",NULL,"Starter Set","32996777132109","[4343002431565]","['Starter Set']","5785536954591","2024-09-16",1,"23","18.4","20.14"
"7565723042015","4343002431565","WipStarterBlu","Starter Set","32996777099341","[4343002431565]","['Starter Set']","5784898699487","2024-09-16",1,"23","18.4","18.4"
"7566520254687","4343002431565","WipStarterBlu","Starter Set","32996777099341","[4343002431565]","['Starter Set']","5785493143775","2024-09-16",1,"23","23","23"
"7566735507679","4343002431565",NULL,"Starter Set","32996777132109","[4343002431565,7728232333535,8667880849631]","['Starter Set','Happy Peaches Bundle','Pocket Kit']","5785678348511","2024-09-16",1,"23","18.4","18.4"
"7566030143711","4343002431565",NULL,"Starter Set","32996777132109","[4343002431565]","['Starter Set']","5785214615775","2024-09-16",1,"23","18.4","18.4"
"7566778106079","8756124614879",NULL,"Feminine Wipe Gel","46189021790431","[4448677003341,7728232333535,8667880849631,8756124614879]","['Toilet Paper Gel','Happy Peaches Bundle','Pocket Kit','Feminine Wipe Gel']","5785717473503","2024-09-16",1,"12.8","12.8","12.8"
"7557421367519","4343002431565",NULL,"Starter Set","32996777132109","[4343002431565]","['Starter Set']","5784988090591","2024-09-16",1,"23","18.4","18.4"
"7565607076063","4343002431565",NULL,"Starter Set","32996777132109","[4343002431565]","['Starter Set']","5784781390047","2024-09-16",1,"23","23","23"
"7563186372831","4448677003341","Wip15oz","Toilet Paper Gel","39303493124173","[4448677003341]","['Toilet Paper Gel']","5784946606303","2024-09-16",1,"16","16","16"
"7055909945567","4448677003341","Wip15oz","Toilet Paper Gel","39303493124173","[4448677003341]","['Toilet Paper Gel']","5785313837279","2024-09-16",1,"16","16","16"
"7565192036575","4343002431565","WipStarterBlu","Starter Set","32996777099341","[4343002431565]","['Starter Set']","5785349619935","2024-09-16",1,"23","23","23"
"7565967130847","4343002431565","WipStarterBlu","Starter Set","32996777099341","[4343002431565]","['Starter Set']","5785152192735","2024-09-16",1,"23","18.4","18.4"
"7566778106079","4448677003341","Wip15oz","Toilet Paper Gel","39303493124173","[4448677003341,7728232333535,8667880849631,8756124614879]","['Toilet Paper Gel','Happy Peaches Bundle','Pocket Kit','Feminine Wipe Gel']","5785717473503","2024-09-16",1,"12.8","12.8","12.8"
"7566735507679","7728232333535",NULL,"Happy Peaches Bundle","43070028480735","[4343002431565,7728232333535,8667880849631]","['Starter Set','Happy Peaches Bundle','Pocket Kit']","5785678348511","2024-09-16",1,"43","34.4","34.4"
"7558567854303","4343002431565","WipStarterBlu","Starter Set","32996777099341","[4343002431565]","['Starter Set']","5785229754591","2024-09-16",1,"23","18.4","18.4"
"7564899483871","4343002431565","WipStarterBlu","Starter Set","32996777099341","[4343002431565]","['Starter Set']","5785284640991","2024-09-16",1,"23","18.4","18.4"
"7566724432095","4448677003341","Wip15oz","Toilet Paper Gel","39303493124173","[4448677003341]","['Toilet Paper Gel']","5785665667295","2024-09-16",1,"16","16","16"
